wavenumber_cm-1,实验：SDBS 粉末 Raman,"参考理论：ORCA B3LYP/6-31+G(d,p)",构型 1：Gaussian B3LYP/6-31G(d),构型 2：Gaussian B3LYP/6-31G(d),二聚体：Gaussian B3LYP/6-31G(d)
310.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
311.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
312.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
313.0,0.00000000,0.00000000,0.00000000,0.00000001,0.00000000
314.0,0.00000000,0.00000000,0.00000000,0.00000002,0.00000000
315.0,0.00000000,0.00000000,0.00000000,0.00000003,0.00000000
316.0,0.00000000,0.00000000,0.00000000,0.00000006,0.00000000
317.0,0.00000000,0.00000000,0.00000000,0.00000011,0.00000000
318.0,0.00000000,0.00000000,0.00000000,0.00000020,0.00000000
319.0,0.00000000,0.00000000,0.00000000,0.00000036,0.00000000
320.0,0.00000000,0.00000000,0.00000001,0.00000064,0.00000000
321.0,0.00000000,0.00000000,0.00000002,0.00000113,0.00000000
322.0,0.00000000,0.00000001,0.00000003,0.00000198,0.00000000
323.0,0.00000000,0.00000002,0.00000006,0.00000340,0.00000000
324.0,0.00000000,0.00000004,0.00000012,0.00000576,0.00000000
325.0,0.00000000,0.00000007,0.00000023,0.00000964,0.00000000
326.0,0.00000000,0.00000013,0.00000042,0.00001589,0.00000000
327.0,0.00000000,0.00000024,0.00000075,0.00002585,0.00000000
328.0,0.00000000,0.00000045,0.00000134,0.00004147,0.00000000
329.0,0.00000000,0.00000082,0.00000235,0.00006561,0.00000000
330.0,0.00000000,0.00000147,0.00000408,0.00010236,0.00000000
331.0,0.00000000,0.00000261,0.00000697,0.00015751,0.00000000
332.0,0.00000000,0.00000458,0.00001176,0.00023903,0.00000000
333.0,0.00000000,0.00000791,0.00001957,0.00035775,0.00000000
334.0,0.00000000,0.00001347,0.00003209,0.00052807,0.00000000
335.0,0.00000000,0.00002263,0.00005192,0.00076874,0.00000000
336.0,0.00000000,0.00003750,0.00008285,0.00110369,0.00000000
337.0,0.00000000,0.00006129,0.00013036,0.00156277,0.00000000
338.0,0.00000000,0.00009878,0.00020231,0.00218234,0.00000000
339.0,0.00000000,0.00015701,0.00030965,0.00300559,0.00000000
340.0,0.00000000,0.00024614,0.00046741,0.00408240,0.00000000
341.0,0.00000000,0.00038055,0.00069582,0.00546866,0.00000000
342.0,0.00000000,0.00058025,0.00102160,0.00722479,0.00000000
343.0,0.00000000,0.00087258,0.00147926,0.00941346,0.00000000
344.0,0.00000000,0.00129411,0.00211246,0.01209631,0.00000000
345.0,0.00000000,0.00189284,0.00297515,0.01532977,0.00000000
346.0,0.00000000,0.00273048,0.00413248,0.01916011,0.00000000
347.0,0.00000000,0.00388457,0.00566098,0.02361781,0.00000000
348.0,0.00000000,0.00545037,0.00764806,0.02871182,0.00000000
349.0,0.00000000,0.00754204,0.01019039,0.03442400,0.00000000
350.0,0.00000000,0.01029274,0.01339090,0.04070438,0.00000000
351.0,0.00000000,0.01385327,0.01735434,0.04746795,0.00000000
352.0,0.00000000,0.01838879,0.02218123,0.05459327,0.00000000
353.0,0.00000000,0.02407318,0.02796036,0.06192375,0.00000000
354.0,0.00000000,0.03108087,0.03475996,0.06927152,0.00000000
355.0,0.00000000,0.03957603,0.04261820,0.07642432,0.00000000
356.0,0.00000000,0.04969934,0.05153358,0.08315491,0.00000000
357.0,0.00000000,0.06155290,0.06145610,0.08923262,0.00000000
358.0,0.00000000,0.07518406,0.07228015,0.09443626,0.00000000
359.0,0.00000000,0.09056960,0.08384024,0.09856742,0.00000000
360.0,0.00000000,0.10760155,0.09591034,0.10146295,0.00000000
361.0,0.00000000,0.12607646,0.10820759,0.10300566,0.00000000
362.0,0.00000000,0.14568972,0.12040083,0.10313222,0.00000001
